controle,ano,titulo,titulo_do,bairro_fato_original,bairro
16781091-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
63977961-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mariopolis,Anchieta
94018301-2022,2022,Homicídio (outros),Homicídio doloso,Marechal hermes,Marechal Hermes
97177151-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
24713211-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Costa barros,Costa Barros
38064291-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
45144491-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
52496291-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Piedade,Piedade
89239301-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cosme velho,Cosme Velho
51872191-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Deodoro,Deodoro
64887521-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Vigario geral,Vigário Geral
73341151-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Praca seca,Praça Seca
36469731-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
42762481-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
42762481-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
42762481-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
43445021-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Nova holanda,Maré
64312101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
69178801-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
69178801-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
69178801-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
69178801-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
69178801-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vicente de carvalho,Vicente de Carvalho
78329031-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Ramos,Ramos
84634741-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Pilares,Pilares
96153761-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
96811031-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bras de pina,Brás de Pina
29532861-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
39698011-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Iraja,Irajá
02450801-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Grajau,Grajaú
24745701-2022,2022,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Mariopolis,Anchieta
59559511-2022,2022,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Centro,Centro
98037651-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Estacio,Estácio
08917991-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cordovil,Cordovil
61302351-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
75294661-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Paciencia,Paciência
76519361-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
76519361-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
41031271-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha circular,Penha Circular
41031271-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha circular,Penha Circular
41031271-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha circular,Penha Circular
41031271-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha circular,Penha Circular
41031271-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Penha circular,Penha Circular
02948031-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bras de pina,Brás de Pina
89689671-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Ricardo de albuquerque,Ricardo de Albuquerque
34567001-2022,2022,Homicídio (outros),Homicídio doloso,Campo grande,Campo Grande
97705351-2022,2022,Homicídio (outros),Homicídio doloso,Jacarepagua,Jacarepaguá
99663811-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Iraja,Irajá
21163101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tomas coelho,Tomás Coelho
21163101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tomas coelho,Tomás Coelho
21163101-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tomas coelho,Tomás Coelho
33938251-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
73382961-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Colonia,Jacarepaguá
74117541-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Del castilho,Del Castilho
95754661-2022,2022,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Santa cruz,Santa Cruz
15221601-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
15221601-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
15221601-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Realengo,Realengo
