"bairro";"ano";"n_mvi";"bairro_id";"periodo";"pct_area_dominacao_ada";"pct_area_dominacao_cv";"pct_area_dominacao_milicia";"pct_area_dominacao_tcp";"ips_2022_agua_saneamento";"ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas";"censo_2010_populacao_total";"censo_2010_rendimento_domiciliar_medio_brl";"fc_total_tiroteios";"fc_acao_policial"
"Turiaçú";"2020";"3";"53";"2";"0,000000000000000";"30,54447700000000";"0,2137010000000000";"0,00000000000000000";"96,2032276781992";"0,0000";"17246";"2084,27";"0";"0"
"Turiaçú";"2021";"5";"53";"3";"0,000000000000000";"31,40777300000000";"0,2137010000000000";"0,00000000000000000";"96,2032276781992";"0,0000";"17246";"2084,27";"0";"0"
"Turiaçú";"2022";"5";"53";"4";"0,000000000000000";"31,40777300000000";"0,2137010000000000";"0,00000000000000000";"96,2032276781992";"0,0000";"17246";"2084,27";"3";"3"
"Turiaçú";"2023";"4";"53";"5";"0,000000000000000";"34,53647300000000";"0,0000000000000000";"0,00000000000000000";"96,2032276781992";"0,0000";"17246";"2084,27";"3";"1"
"Turiaçú";"2024";"2";"53";"6";"0,000000000000000";"33,78234200000000";"0,0000000000000000";"0,00000000000000000";"96,2032276781992";"0,0000";"17246";"2084,27";"3";"1"
"Bonsucesso";"2019";"25";"54";"1";"0,000000000000000";"1,78507900000000";"0,0000000000000000";"0,00000000000000000";"89,5559313531074";"0,1151";"18711";"2464,27";"32";"9"
"Bonsucesso";"2020";"28";"54";"2";"0,000000000000000";"1,78507900000000";"17,1337629999999983";"0,00000000000000000";"89,5559313531074";"0,1151";"18711";"2464,27";"13";"2"
"Bonsucesso";"2021";"16";"54";"3";"0,000000000000000";"1,78507900000000";"17,1337629999999983";"0,00000000000000000";"89,5559313531074";"0,1151";"18711";"2464,27";"10";"0"
"Bonsucesso";"2022";"27";"54";"4";"0,000000000000000";"1,79910100000000";"11,4894879999999997";"0,00000000000000000";"89,5559313531074";"0,1151";"18711";"2464,27";"12";"5"
"Bonsucesso";"2023";"19";"54";"5";"0,000000000000000";"1,79910100000000";"0,0000000000000000";"0,00000000000000000";"89,5559313531074";"0,1151";"18711";"2464,27";"8";"5"
"Bonsucesso";"2024";"17";"54";"6";"0,000000000000000";"1,79910100000000";"0,0000000000000000";"0,00000000000000000";"89,5559313531074";"0,1151";"18711";"2464,27";"10";"6"
"Inhaúma";"2019";"14";"55";"1";"0,000000000000000";"8,59948700000000";"28,7017440000000015";"0,00000000000000000";"96,3096117080283";"0,0876";"45698";"1797,39";"7";"4"
"Inhaúma";"2020";"8";"55";"2";"0,000000000000000";"8,59948700000000";"28,7017440000000015";"0,00000000000000000";"96,3096117080283";"0,0876";"45698";"1797,39";"8";"4"
"Inhaúma";"2021";"6";"55";"3";"0,000000000000000";"8,59948700000000";"28,7017440000000015";"0,00000000000000000";"96,3096117080283";"0,0876";"45698";"1797,39";"7";"1"
"Inhaúma";"2022";"12";"55";"4";"0,000000000000000";"8,59948700000000";"28,7017440000000015";"0,00000000000000000";"96,3096117080283";"0,0876";"45698";"1797,39";"11";"0"
"Inhaúma";"2023";"10";"55";"5";"0,000000000000000";"5,35891500000000";"9,7059060000000006";"0,00000000000000000";"96,3096117080283";"0,0876";"45698";"1797,39";"7";"0"
"Inhaúma";"2024";"7";"55";"6";"0,000000000000000";"5,35891500000000";"28,7017440000000015";"0,00000000000000000";"96,3096117080283";"0,0876";"45698";"1797,39";"7";"5"
"Tomás Coelho";"2019";"9";"56";"1";"6,595944000000000";"5,71205300000000";"0,0000000000000000";"3,05279799999999968";"95,4452468803020";"0,1079";"22676";"1981,95";"17";"6"
"Tomás Coelho";"2020";"12";"56";"2";"2,753635000000000";"5,74260100000000";"0,0000000000000000";"6,86455899999999897";"95,4452468803020";"0,1079";"22676";"1981,95";"10";"0"
"Tomás Coelho";"2021";"10";"56";"3";"2,753635000000000";"5,74260100000000";"0,0000000000000000";"13,64922299999999922";"95,4452468803020";"0,1079";"22676";"1981,95";"14";"4"
"Tomás Coelho";"2022";"14";"56";"4";"2,387398000000000";"4,93014000000000";"1,1786980000000000";"13,64922299999999922";"95,4452468803020";"0,1079";"22676";"1981,95";"10";"4"
"Tomás Coelho";"2023";"10";"56";"5";"2,387398000000000";"4,93014000000000";"1,1786980000000000";"13,64922299999999922";"95,4452468803020";"0,1079";"22676";"1981,95";"5";"1"
"Tomás Coelho";"2024";"5";"56";"6";"1,418863000000000";"5,89867500000000";"1,1786980000000000";"13,64922299999999922";"95,4452468803020";"0,1079";"22676";"1981,95";"10";"2"
"Santíssimo";"2019";"12";"57";"1";"0,000000000000000";"0,00000000000000";"20,7089950000000016";"1,52892399999999995";"92,9246497797923";"0,1325";"41458";"1680,72";"11";"2"
"Santíssimo";"2020";"5";"57";"2";"0,000000000000000";"0,00000000000000";"16,0797670000000004";"1,52892399999999995";"92,9246497797923";"0,1325";"41458";"1680,72";"11";"2"
"Santíssimo";"2021";"6";"57";"3";"0,000000000000000";"0,00000000000000";"13,8128039999999999";"1,52892399999999995";"92,9246497797923";"0,1325";"41458";"1680,72";"9";"1"
"Santíssimo";"2022";"6";"57";"4";"0,000000000000000";"0,00000000000000";"14,7066689999999998";"1,52892399999999995";"92,9246497797923";"0,1325";"41458";"1680,72";"8";"3"
"Santíssimo";"2023";"2";"57";"5";"0,000000000000000";"0,00000000000000";"10,0864150000000006";"1,52892399999999995";"92,9246497797923";"0,1325";"41458";"1680,72";"2";"1"
"Santíssimo";"2024";"8";"57";"6";"0,000000000000000";"0,00000000000000";"13,2278470000000006";"1,52892399999999995";"92,9246497797923";"0,1325";"41458";"1680,72";"2";"1"
"Madureira";"2019";"29";"58";"1";"0,000000000000000";"5,41439000000000";"36,4152729999999991";"9,06297200000000025";"95,2090615085235";"0,0286";"50106";"2391,05";"110";"38"
"Madureira";"2020";"21";"58";"2";"0,000000000000000";"5,41439000000000";"37,9371309999999937";"9,06297200000000025";"95,2090615085235";"0,0286";"50106";"2391,05";"48";"24"
"Madureira";"2021";"19";"58";"3";"0,000000000000000";"6,40096600000000";"37,9371309999999937";"9,06297200000000025";"95,2090615085235";"0,0286";"50106";"2391,05";"75";"19"
"Madureira";"2022";"11";"58";"4";"0,000000000000000";"6,40096600000000";"43,4166039999999995";"8,96386900000000075";"95,2090615085235";"0,0286";"50106";"2391,05";"47";"30"
"Madureira";"2023";"28";"58";"5";"0,000000000000000";"6,40096600000000";"32,7131100000000004";"8,96386900000000075";"95,2090615085235";"0,0286";"50106";"2391,05";"48";"22"
"Madureira";"2024";"15";"58";"6";"0,000000000000000";"5,49228600000000";"18,2214639999999974";"8,96386900000000075";"95,2090615085235";"0,0286";"50106";"2391,05";"27";"10"
"Oswaldo Cruz";"2019";"4";"59";"1";"0,000000000000000";"0,30071400000000";"13,9294030000000006";"0,00000000000000000";"94,2196026354141";"0,0488";"34040";"2330,83";"4";"0"
"Oswaldo Cruz";"2020";"5";"59";"2";"0,000000000000000";"0,30071400000000";"16,7923389999999984";"0,00000000000000000";"94,2196026354141";"0,0488";"34040";"2330,83";"2";"0"
"Oswaldo Cruz";"2021";"0";"59";"3";"0,000000000000000";"0,30071400000000";"13,9294030000000006";"0,00000000000000000";"94,2196026354141";"0,0488";"34040";"2330,83";"2";"0"
"Oswaldo Cruz";"2022";"4";"59";"4";"0,000000000000000";"0,30071400000000";"6,8030119999999998";"0,00000000000000000";"94,2196026354141";"0,0488";"34040";"2330,83";"3";"0"
